dataset,instance,n,m,file
densidad-baja,BAJA-35,35,297,instances/densidad-baja/BAJA-35.txt
densidad-baja,BAJA-36,36,315,instances/densidad-baja/BAJA-36.txt
densidad-baja,BAJA-37,37,333,instances/densidad-baja/BAJA-37.txt
densidad-baja,BAJA-38,38,351,instances/densidad-baja/BAJA-38.txt
densidad-baja,BAJA-39,39,370,instances/densidad-baja/BAJA-39.txt
densidad-baja,BAJA-40,40,390,instances/densidad-baja/BAJA-40.txt
densidad-baja,BAJA-41,41,410,instances/densidad-baja/BAJA-41.txt
densidad-baja,BAJA-42,42,430,instances/densidad-baja/BAJA-42.txt
densidad-baja,BAJA-43,43,451,instances/densidad-baja/BAJA-43.txt
densidad-baja,BAJA-44,44,473,instances/densidad-baja/BAJA-44.txt
densidad-baja,BAJA-45,45,495,instances/densidad-baja/BAJA-45.txt
densidad-baja,BAJA-46,46,517,instances/densidad-baja/BAJA-46.txt
densidad-baja,BAJA-47,47,540,instances/densidad-baja/BAJA-47.txt
densidad-baja,BAJA-48,48,564,instances/densidad-baja/BAJA-48.txt
densidad-baja,BAJA-49,49,588,instances/densidad-baja/BAJA-49.txt
densidad-baja,BAJA-50,50,612,instances/densidad-baja/BAJA-50.txt
densidad-baja,BAJA-51,51,637,instances/densidad-baja/BAJA-51.txt
densidad-baja,BAJA-52,52,663,instances/densidad-baja/BAJA-52.txt
densidad-baja,BAJA-53,53,689,instances/densidad-baja/BAJA-53.txt
densidad-baja,BAJA-54,54,715,instances/densidad-baja/BAJA-54.txt
densidad-baja,BAJA-55,55,742,instances/densidad-baja/BAJA-55.txt
densidad-baja,BAJA-56,56,770,instances/densidad-baja/BAJA-56.txt
densidad-baja,BAJA-57,57,798,instances/densidad-baja/BAJA-57.txt
densidad-baja,BAJA-58,58,826,instances/densidad-baja/BAJA-58.txt
densidad-baja,BAJA-59,59,855,instances/densidad-baja/BAJA-59.txt
densidad-baja,BAJA-60,60,885,instances/densidad-baja/BAJA-60.txt
densidad-baja,BAJA-61,61,915,instances/densidad-baja/BAJA-61.txt
densidad-baja,BAJA-62,62,945,instances/densidad-baja/BAJA-62.txt
densidad-baja,BAJA-63,63,976,instances/densidad-baja/BAJA-63.txt
densidad-baja,BAJA-64,64,1008,instances/densidad-baja/BAJA-64.txt
densidad-baja,BAJA-65,65,1040,instances/densidad-baja/BAJA-65.txt
densidad-baja,BAJA-66,66,1072,instances/densidad-baja/BAJA-66.txt
densidad-baja,BAJA-67,67,1105,instances/densidad-baja/BAJA-67.txt
densidad-baja,BAJA-68,68,1139,instances/densidad-baja/BAJA-68.txt
densidad-baja,BAJA-69,69,1173,instances/densidad-baja/BAJA-69.txt
densidad-baja,BAJA-70,70,1207,instances/densidad-baja/BAJA-70.txt
densidad-baja,BAJA-71,71,1242,instances/densidad-baja/BAJA-71.txt
densidad-baja,BAJA-72,72,1278,instances/densidad-baja/BAJA-72.txt
densidad-baja,BAJA-73,73,1314,instances/densidad-baja/BAJA-73.txt
densidad-baja,BAJA-74,74,1350,instances/densidad-baja/BAJA-74.txt
densidad-baja,BAJA-75,75,1387,instances/densidad-baja/BAJA-75.txt
densidad-baja,BAJA-76,76,1425,instances/densidad-baja/BAJA-76.txt
densidad-baja,BAJA-77,77,1463,instances/densidad-baja/BAJA-77.txt
densidad-baja,BAJA-78,78,1501,instances/densidad-baja/BAJA-78.txt
densidad-baja,BAJA-79,79,1540,instances/densidad-baja/BAJA-79.txt
densidad-baja,BAJA-80,80,1580,instances/densidad-baja/BAJA-80.txt
densidad-baja,BAJA-81,81,1620,instances/densidad-baja/BAJA-81.txt
densidad-baja,BAJA-82,82,1660,instances/densidad-baja/BAJA-82.txt
densidad-baja,BAJA-83,83,1701,instances/densidad-baja/BAJA-83.txt
densidad-baja,BAJA-84,84,1743,instances/densidad-baja/BAJA-84.txt
densidad-baja,BAJA-85,85,1785,instances/densidad-baja/BAJA-85.txt
densidad-baja,BAJA-86,86,1827,instances/densidad-baja/BAJA-86.txt
densidad-baja,BAJA-87,87,1870,instances/densidad-baja/BAJA-87.txt
densidad-baja,BAJA-88,88,1914,instances/densidad-baja/BAJA-88.txt
densidad-baja,BAJA-89,89,1958,instances/densidad-baja/BAJA-89.txt
densidad-baja,BAJA-90,90,2002,instances/densidad-baja/BAJA-90.txt
densidad-baja,BAJA-91,91,2047,instances/densidad-baja/BAJA-91.txt
densidad-baja,BAJA-92,92,2093,instances/densidad-baja/BAJA-92.txt
densidad-baja,BAJA-93,93,2139,instances/densidad-baja/BAJA-93.txt
densidad-baja,BAJA-94,94,2185,instances/densidad-baja/BAJA-94.txt
densidad-baja,BAJA-95,95,2232,instances/densidad-baja/BAJA-95.txt
densidad-baja,BAJA-96,96,2280,instances/densidad-baja/BAJA-96.txt
densidad-baja,BAJA-97,97,2328,instances/densidad-baja/BAJA-97.txt
densidad-baja,BAJA-98,98,2376,instances/densidad-baja/BAJA-98.txt
densidad-baja,BAJA-99,99,2425,instances/densidad-baja/BAJA-99.txt
densidad-baja,BAJA-100,100,2475,instances/densidad-baja/BAJA-100.txt
densidad-baja,BAJA-101,101,2525,instances/densidad-baja/BAJA-101.txt
densidad-baja,BAJA-102,102,2575,instances/densidad-baja/BAJA-102.txt
densidad-baja,BAJA-103,103,2626,instances/densidad-baja/BAJA-103.txt
densidad-baja,BAJA-104,104,2678,instances/densidad-baja/BAJA-104.txt
densidad-baja,BAJA-105,105,2730,instances/densidad-baja/BAJA-105.txt
densidad-baja,BAJA-106,106,2782,instances/densidad-baja/BAJA-106.txt
densidad-baja,BAJA-107,107,2835,instances/densidad-baja/BAJA-107.txt
densidad-baja,BAJA-108,108,2889,instances/densidad-baja/BAJA-108.txt
densidad-baja,BAJA-109,109,2943,instances/densidad-baja/BAJA-109.txt
densidad-baja,BAJA-110,110,2997,instances/densidad-baja/BAJA-110.txt
densidad-baja,BAJA-111,111,3052,instances/densidad-baja/BAJA-111.txt
densidad-baja,BAJA-112,112,3108,instances/densidad-baja/BAJA-112.txt
densidad-baja,BAJA-113,113,3164,instances/densidad-baja/BAJA-113.txt
densidad-baja,BAJA-114,114,3220,instances/densidad-baja/BAJA-114.txt
densidad-baja,BAJA-115,115,3277,instances/densidad-baja/BAJA-115.txt
densidad-baja,BAJA-116,116,3335,instances/densidad-baja/BAJA-116.txt
densidad-baja,BAJA-117,117,3393,instances/densidad-baja/BAJA-117.txt
densidad-baja,BAJA-118,118,3451,instances/densidad-baja/BAJA-118.txt
densidad-baja,BAJA-119,119,3510,instances/densidad-baja/BAJA-119.txt
densidad-baja,BAJA-120,120,3570,instances/densidad-baja/BAJA-120.txt
densidad-baja,BAJA-121,121,3630,instances/densidad-baja/BAJA-121.txt
densidad-baja,BAJA-122,122,3690,instances/densidad-baja/BAJA-122.txt
densidad-baja,BAJA-123,123,3751,instances/densidad-baja/BAJA-123.txt
densidad-baja,BAJA-124,124,3813,instances/densidad-baja/BAJA-124.txt
densidad-baja,BAJA-125,125,3875,instances/densidad-baja/BAJA-125.txt
densidad-baja,BAJA-126,126,3937,instances/densidad-baja/BAJA-126.txt
densidad-baja,BAJA-127,127,4000,instances/densidad-baja/BAJA-127.txt
densidad-baja,BAJA-128,128,4064,instances/densidad-baja/BAJA-128.txt
densidad-baja,BAJA-129,129,4128,instances/densidad-baja/BAJA-129.txt
densidad-baja,BAJA-130,130,4192,instances/densidad-baja/BAJA-130.txt
densidad-baja,BAJA-131,131,4257,instances/densidad-baja/BAJA-131.txt
densidad-baja,BAJA-132,132,4323,instances/densidad-baja/BAJA-132.txt
densidad-baja,BAJA-133,133,4389,instances/densidad-baja/BAJA-133.txt
densidad-baja,BAJA-134,134,4455,instances/densidad-baja/BAJA-134.txt
densidad-baja,BAJA-135,135,4522,instances/densidad-baja/BAJA-135.txt
densidad-baja,BAJA-136,136,4590,instances/densidad-baja/BAJA-136.txt
densidad-baja,BAJA-137,137,4658,instances/densidad-baja/BAJA-137.txt
densidad-baja,BAJA-138,138,4726,instances/densidad-baja/BAJA-138.txt
densidad-baja,BAJA-139,139,4795,instances/densidad-baja/BAJA-139.txt
densidad-baja,BAJA-140,140,4865,instances/densidad-baja/BAJA-140.txt
densidad-baja,BAJA-141,141,4935,instances/densidad-baja/BAJA-141.txt
densidad-baja,BAJA-142,142,5005,instances/densidad-baja/BAJA-142.txt
densidad-baja,BAJA-143,143,5076,instances/densidad-baja/BAJA-143.txt
densidad-baja,BAJA-144,144,5148,instances/densidad-baja/BAJA-144.txt
densidad-baja,BAJA-145,145,5220,instances/densidad-baja/BAJA-145.txt
densidad-baja,BAJA-146,146,5292,instances/densidad-baja/BAJA-146.txt
densidad-baja,BAJA-147,147,5365,instances/densidad-baja/BAJA-147.txt
densidad-baja,BAJA-148,148,5439,instances/densidad-baja/BAJA-148.txt
densidad-baja,BAJA-149,149,5513,instances/densidad-baja/BAJA-149.txt
densidad-baja,BAJA-150,150,5587,instances/densidad-baja/BAJA-150.txt
densidad-baja,BAJA-151,151,5662,instances/densidad-baja/BAJA-151.txt
densidad-baja,BAJA-152,152,5738,instances/densidad-baja/BAJA-152.txt
densidad-baja,BAJA-153,153,5814,instances/densidad-baja/BAJA-153.txt
densidad-baja,BAJA-154,154,5890,instances/densidad-baja/BAJA-154.txt
densidad-baja,BAJA-155,155,5967,instances/densidad-baja/BAJA-155.txt
densidad-baja,BAJA-156,156,6045,instances/densidad-baja/BAJA-156.txt
densidad-baja,BAJA-157,157,6123,instances/densidad-baja/BAJA-157.txt
densidad-baja,BAJA-158,158,6201,instances/densidad-baja/BAJA-158.txt
densidad-baja,BAJA-159,159,6280,instances/densidad-baja/BAJA-159.txt
densidad-baja,BAJA-160,160,6360,instances/densidad-baja/BAJA-160.txt
densidad-baja,BAJA-161,161,6440,instances/densidad-baja/BAJA-161.txt
densidad-baja,BAJA-162,162,6520,instances/densidad-baja/BAJA-162.txt
densidad-baja,BAJA-163,163,6601,instances/densidad-baja/BAJA-163.txt
densidad-baja,BAJA-164,164,6683,instances/densidad-baja/BAJA-164.txt
densidad-baja,BAJA-165,165,6765,instances/densidad-baja/BAJA-165.txt
densidad-baja,BAJA-166,166,6847,instances/densidad-baja/BAJA-166.txt
densidad-baja,BAJA-167,167,6930,instances/densidad-baja/BAJA-167.txt
densidad-baja,BAJA-168,168,7014,instances/densidad-baja/BAJA-168.txt
densidad-baja,BAJA-169,169,7098,instances/densidad-baja/BAJA-169.txt
densidad-baja,BAJA-170,170,7182,instances/densidad-baja/BAJA-170.txt
densidad-baja,BAJA-171,171,7267,instances/densidad-baja/BAJA-171.txt
densidad-baja,BAJA-172,172,7353,instances/densidad-baja/BAJA-172.txt
densidad-baja,BAJA-173,173,7439,instances/densidad-baja/BAJA-173.txt
densidad-baja,BAJA-174,174,7525,instances/densidad-baja/BAJA-174.txt
densidad-baja,BAJA-175,175,7612,instances/densidad-baja/BAJA-175.txt
densidad-baja,BAJA-176,176,7700,instances/densidad-baja/BAJA-176.txt
densidad-baja,BAJA-177,177,7788,instances/densidad-baja/BAJA-177.txt
densidad-baja,BAJA-178,178,7876,instances/densidad-baja/BAJA-178.txt
densidad-baja,BAJA-179,179,7965,instances/densidad-baja/BAJA-179.txt
densidad-baja,BAJA-180,180,8055,instances/densidad-baja/BAJA-180.txt
densidad-baja,BAJA-181,181,8145,instances/densidad-baja/BAJA-181.txt
densidad-baja,BAJA-182,182,8235,instances/densidad-baja/BAJA-182.txt
densidad-baja,BAJA-183,183,8326,instances/densidad-baja/BAJA-183.txt
densidad-baja,BAJA-184,184,8418,instances/densidad-baja/BAJA-184.txt
densidad-baja,BAJA-185,185,8510,instances/densidad-baja/BAJA-185.txt
densidad-baja,BAJA-186,186,8602,instances/densidad-baja/BAJA-186.txt
densidad-baja,BAJA-187,187,8695,instances/densidad-baja/BAJA-187.txt
densidad-baja,BAJA-188,188,8789,instances/densidad-baja/BAJA-188.txt
densidad-baja,BAJA-189,189,8883,instances/densidad-baja/BAJA-189.txt
densidad-baja,BAJA-190,190,8977,instances/densidad-baja/BAJA-190.txt
densidad-baja,BAJA-191,191,9072,instances/densidad-baja/BAJA-191.txt
densidad-baja,BAJA-192,192,9168,instances/densidad-baja/BAJA-192.txt
densidad-baja,BAJA-193,193,9264,instances/densidad-baja/BAJA-193.txt
densidad-baja,BAJA-194,194,9360,instances/densidad-baja/BAJA-194.txt
densidad-baja,BAJA-195,195,9457,instances/densidad-baja/BAJA-195.txt
densidad-baja,BAJA-196,196,9555,instances/densidad-baja/BAJA-196.txt
densidad-baja,BAJA-197,197,9653,instances/densidad-baja/BAJA-197.txt
densidad-baja,BAJA-198,198,9751,instances/densidad-baja/BAJA-198.txt
densidad-baja,BAJA-199,199,9850,instances/densidad-baja/BAJA-199.txt
densidad-baja,BAJA-200,200,9950,instances/densidad-baja/BAJA-200.txt
